,age,nationality,minutes_90s,player,position,carry_progressive_distance
0,21,eng ENG,31.0,Aaron Ramsdale,GK,1465
1,27,eng ENG,28.1,Callum Wilson,FW,1617
2,23,dk DEN,25.1,Philip Billing,MF,1940
3,24,nl NED,25.4,Nathan Aké,DF,2746
4,24,co COL,24.1,Jefferson Lerma,MF,1793
5,28,eng ENG,23.4,Steve Cook,DF,2030
6,25,sco SCO,23.0,Ryan Fraser,"MF,FW",3499
7,28,eng ENG,20.3,Adam Smith,DF,3309
8,26,es ESP,19.9,Diego Rico,DF,1827
9,22,wal WAL,17.0,Harry Wilson,"MF,FW",1646
10,27,no NOR,17.8,Joshua King,"FW,MF",2768
11,23,eng ENG,13.7,Jack Stacey,DF,1630
12,21,eng ENG,14.9,Dominic Solanke,"FW,MF",1520
13,22,eng ENG,13.7,Lewis Cook,MF,1450
14,34,eng ENG,10.8,Simon Francis,DF,747
15,29,eng ENG,10.5,Dan Gosling,MF,621
16,21,wal WAL,10.1,Chris Mepham,DF,1229
17,22,nl NED,6.0,Arnaut Groeneveld,MF,1144
18,29,eng ENG,3.9,Junior Stanislas,"MF,FW",388
19,22,wal WAL,2.1,David Brooks,MF,266
20,32,eng ENG,2.6,Andrew Surman,MF,94
21,32,eng ENG,1.4,Charlie Daniels,DF,67
22,22,eng ENG,2.7,Jack Simpson,DF,98
23,20,eng ENG,1.1,Lloyd Kelly,DF,100
24,20,ie IRL,1.0,Mark Travers,GK,30
25,23,eng ENG,0.6,Jordon Ibe,DF,189
26,21,eng ENG,0.2,Sam Surridge,FW,33
