,npxg_per90,position,xg_per90,nationality,player,age,minutes,xa_per90
0,0.09,DF,0.09,es ESP,César Azpilicueta,29,"2,599",0.18
1,0.23,"MF,FW",0.23,eng ENG,Mason Mount,20,"2,477",0.13
2,0.00,GK,0.00,es ESP,Kepa Arrizabalaga,24,"2,430",0.00
3,0.13,FW,0.20,br BRA,Willian,30,"2,107",0.23
4,0.05,MF,0.16,it ITA,Jorginho,27,"2,011",0.10
5,0.60,FW,0.60,eng ENG,Tammy Abraham,21,"1,972",0.11
6,0.03,DF,0.03,fr FRA,Kurt Zouma,24,"1,804",0.01
7,0.06,MF,0.06,hr CRO,Mateo Kovačić,25,"1,757",0.10
8,0.09,MF,0.09,fr FRA,N'Golo Kanté,28,"1,565",0.12
9,0.05,DF,0.05,dk DEN,Andreas Christensen,23,"1,436",0.07
10,0.03,DF,0.03,de GER,Antonio Rüdiger,26,"1,305",0.02
11,0.04,DF,0.04,eng ENG,Fikayo Tomori,21,"1,291",0.01
12,0.51,FW,0.51,us USA,Christian Pulisic,20,"1,198",0.16
13,0.08,DF,0.08,it ITA,Emerson Palmieri,24,"1,021",0.12
14,0.06,DF,0.06,eng ENG,Reece James,19,"1,070",0.15
15,0.14,DF,0.14,es ESP,Marcos Alonso,28,"1,039",0.12
16,0.22,MF,0.22,eng ENG,Ross Barkley,25,783,0.27
17,0.36,FW,0.36,es ESP,Pedro,32,655,0.11
18,0.23,FW,0.23,eng ENG,Callum Hudson-Odoi,18,777,0.27
19,0.32,FW,0.32,fr FRA,Olivier Giroud,32,581,0.13
20,0.00,GK,0.00,ar ARG,Willy Caballero,37,360,0.00
21,0.82,FW,0.82,be BEL,Michy Batshuayi,25,239,0.06
22,0.05,MF,0.05,sco SCO,Billy Gilmour,18,102,0.13
23,0.17,FW,0.17,eng ENG,Ruben Loftus-Cheek,23,54,0.00
24,0.00,DF,0.00,eng ENG,Tariq Lamptey,18,32,0.38
25,0.10,FW,0.10,eng ENG,Faustino Anjorin,17,20,0.00
26,0.00,FW,0.00,al ALB,Armando Broja,17,5,0.00
27,,DF,,eng ENG,Marc Guéhi,19,,
28,,"FW,MF",,br BRA,Kenedy,23,,
