,minutes_90s,position,nationality,player,age,carry_progressive_distance
0,28.9,DF,es ESP,César Azpilicueta,29,3024
1,27.5,"MF,FW",eng ENG,Mason Mount,20,3603
2,27.0,GK,es ESP,Kepa Arrizabalaga,24,1177
3,23.4,FW,br BRA,Willian,30,5520
4,22.3,MF,it ITA,Jorginho,27,3185
5,21.9,FW,eng ENG,Tammy Abraham,21,1031
6,20.0,DF,fr FRA,Kurt Zouma,24,3238
7,19.5,MF,hr CRO,Mateo Kovačić,25,4400
8,17.4,MF,fr FRA,N'Golo Kanté,28,2550
9,16.0,DF,dk DEN,Andreas Christensen,23,2316
10,14.5,DF,de GER,Antonio Rüdiger,26,2571
11,14.3,DF,eng ENG,Fikayo Tomori,21,2162
12,13.3,FW,us USA,Christian Pulisic,20,2966
13,11.3,DF,it ITA,Emerson Palmieri,24,2233
14,11.9,DF,eng ENG,Reece James,19,1754
15,11.5,DF,es ESP,Marcos Alonso,28,1790
16,8.7,MF,eng ENG,Ross Barkley,25,1303
17,7.3,FW,es ESP,Pedro,32,1063
18,8.6,FW,eng ENG,Callum Hudson-Odoi,18,2126
19,6.5,FW,fr FRA,Olivier Giroud,32,137
20,4.0,GK,ar ARG,Willy Caballero,37,161
21,2.7,FW,be BEL,Michy Batshuayi,25,300
22,1.1,MF,sco SCO,Billy Gilmour,18,204
23,0.6,FW,eng ENG,Ruben Loftus-Cheek,23,44
24,0.4,DF,eng ENG,Tariq Lamptey,18,56
25,0.2,FW,eng ENG,Faustino Anjorin,17,40
26,0.1,FW,al ALB,Armando Broja,17,1
