,player,nationality,npxg_per90,xg_per90,age,minutes,xa_per90,position
0,Virgil van Dijk,nl NED,0.08,0.08,28,"2,790",0.03,DF
1,Trent Alexander-Arnold,eng ENG,0.08,0.08,20,"2,712",0.29,DF
2,Roberto Firmino,br BRA,0.44,0.44,27,"2,547",0.18,FW
3,Georginio Wijnaldum,nl NED,0.09,0.09,28,"2,437",0.04,MF
4,Andrew Robertson,sco SCO,0.05,0.05,25,"2,527",0.20,DF
5,Mohamed Salah,eg EGY,0.51,0.59,27,"2,329",0.23,FW
6,Sadio Mané,sn SEN,0.46,0.46,27,"2,250",0.24,FW
7,Jordan Henderson,eng ENG,0.06,0.06,29,"2,039",0.13,MF
8,Alisson,br BRA,0.00,0.00,26,"1,913",0.02,GK
9,Fabinho,br BRA,0.02,0.02,25,"1,629",0.09,MF
10,Joe Gomez,eng ENG,0.00,0.00,22,"1,419",0.01,DF
11,Alex Oxlade-Chamberlain,eng ENG,0.18,0.18,25,"1,175",0.08,"MF,FW"
12,Adrián,es ESP,0.00,0.00,32,875,0.00,GK
13,Dejan Lovren,hr CRO,0.04,0.04,30,777,0.05,DF
14,James Milner,eng ENG,0.06,0.23,33,811,0.07,"MF,DF"
15,Joël Matip,cm CMR,0.05,0.05,27,703,0.00,DF
16,Divock Origi,be BEL,0.33,0.33,24,554,0.01,FW
17,Naby Keïta,gn GUI,0.29,0.29,24,441,0.25,MF
18,Adam Lallana,eng ENG,0.25,0.25,31,382,0.14,"MF,FW"
19,Xherdan Shaqiri,ch SUI,0.24,0.24,27,177,0.08,FW
20,Takumi Minamino,jp JPN,0.55,0.55,24,142,0.00,"FW,MF"
21,Curtis Jones,eng ENG,0.20,0.20,18,21,0.00,MF
22,Neco Williams,wal WAL,0.49,0.49,18,17,0.00,DF
23,Harvey Elliot,eng ENG,0.00,0.00,16,8,0.00,DF
24,Rhian Brewster,eng ENG,,,19,,,FW
25,Ki-Jana Hoever,nl NED,,,17,,,DF
26,Caoimhin Kelleher,ie IRL,,,20,,,GK
27,Andy Lonergan,ie IRL,,,35,,,GK
28,Nathaniel Phillips,eng ENG,,,22,,,DF
