,passes_progressive_distance,nationality,minutes_90s,player,passes,passes_completed,passes_pct,position,age
0,9982,br BRA,27.1,Ederson,796,700,87.9,GK,25
1,8953,be BEL,26.0,Kevin De Bruyne,1879,1411,75.1,MF,28
2,2426,eng ENG,24.4,Raheem Sterling,1039,835,80.4,FW,24
3,13110,br BRA,23.9,Fernandinho,1941,1764,90.9,DF,34
4,9085,es ESP,23.6,Rodri,2135,1984,92.9,MF,23
5,6847,eng ENG,22.1,Kyle Walker,1749,1536,87.8,DF,29
6,5634,de GER,19.7,İlkay Gündoğan,1708,1549,90.7,MF,28
7,3317,pt POR,18.5,Bernardo Silva,1178,1020,86.6,"FW,MF",24
8,3597,dz ALG,17.8,Riyad Mahrez,1001,848,84.7,FW,28
9,781,ar ARG,16.1,Sergio Agüero,367,284,77.4,FW,31
10,3110,es ESP,16.1,David Silva,1138,974,85.6,MF,33
11,6349,ar ARG,16.9,Nicolás Otamendi,1280,1189,92.9,DF,31
12,4901,fr FRA,14.0,Benjamin Mendy,1127,973,86.3,DF,25
13,646,br BRA,16.7,Gabriel Jesus,463,408,88.1,FW,22
14,4390,ua UKR,11.4,Oleksandr Zinchenko,1060,948,89.4,DF,22
15,4562,eng ENG,10.1,John Stones,764,725,94.9,DF,25
16,3701,pt POR,9.7,João Cancelo,821,719,87.6,DF,25
17,4149,fr FRA,7.5,Aymeric Laporte,699,656,93.8,DF,25
18,639,eng ENG,5.2,Phil Foden,258,226,87.6,"FW,MF",19
19,1706,es ESP,4.7,Angeliño,426,335,78.6,DF,22
20,1673,es ESP,4.0,Eric García,313,300,95.8,DF,18
21,1554,cl CHI,3.9,Claudio Bravo,132,101,76.5,GK,36
22,13,de GER,0.1,Leroy Sané,7,6,85.7,FW,23
