,nationality,minutes_90s,player,carry_progressive_distance,position,age
0,br BRA,27.1,Ederson,1651,GK,25
1,be BEL,26.0,Kevin De Bruyne,5673,MF,28
2,eng ENG,24.4,Raheem Sterling,5167,FW,24
3,br BRA,23.9,Fernandinho,6719,DF,34
4,es ESP,23.6,Rodri,4488,MF,23
5,eng ENG,22.1,Kyle Walker,4625,DF,29
6,de GER,19.7,İlkay Gündoğan,2861,MF,28
7,pt POR,18.5,Bernardo Silva,4152,"FW,MF",24
8,dz ALG,17.8,Riyad Mahrez,3917,FW,28
9,ar ARG,16.1,Sergio Agüero,1396,FW,31
10,es ESP,16.1,David Silva,2679,MF,33
11,ar ARG,16.9,Nicolás Otamendi,3845,DF,31
12,fr FRA,14.0,Benjamin Mendy,2393,DF,25
13,br BRA,16.7,Gabriel Jesus,1196,FW,22
14,ua UKR,11.4,Oleksandr Zinchenko,1870,DF,22
15,eng ENG,10.1,John Stones,2621,DF,25
16,pt POR,9.7,João Cancelo,2022,DF,25
17,fr FRA,7.5,Aymeric Laporte,2837,DF,25
18,eng ENG,5.2,Phil Foden,786,"FW,MF",19
19,es ESP,4.7,Angeliño,942,DF,22
20,es ESP,4.0,Eric García,558,DF,18
21,cl CHI,3.9,Claudio Bravo,146,GK,36
22,de GER,0.1,Leroy Sané,23,FW,23
