,goals_against,round,xg_against,goals_for,xg_for
0,0,Matchweek 1,0.8,4,2.1
1,1,Matchweek 2,0.3,1,1.3
2,2,Matchweek 3,0.8,1,2.2
3,1,Matchweek 4,0.8,1,1.7
4,0,Matchweek 5,0.4,1,1.1
5,0,Group stage,0.3,1,2.3
6,2,Matchweek 6,0.4,0,1.1
7,1 (3),Third round,,1 (5),
8,1,Matchweek 7,1.6,1,1.1
9,0,Group stage,0.6,0,0.6
10,1,Matchweek 8,0.6,0,0.7
11,1,Matchweek 9,1.2,1,0.7
12,0,Group stage,0.8,1,1.1
13,1,Matchweek 10,1.1,3,4.1
14,1,Fourth round,,2,
15,1,Matchweek 11,1.7,0,0.7
16,0,Group stage,0.1,3,2.2
17,1,Matchweek 12,0.8,3,2.3
18,3,Matchweek 13,1.2,3,1.2
19,2,Group stage,1.2,1,1.9
20,2,Matchweek 14,1.2,2,1.7
21,1,Matchweek 15,0.5,2,1.2
22,1,Matchweek 16,2.2,2,1.6
23,0,Group stage,0.9,4,1.5
24,1,Matchweek 17,0.3,1,1.6
25,0,Quarter-finals,,3,
26,2,Matchweek 18,1.5,0,1.8
27,1,Matchweek 19,0.8,4,1.5
28,0,Matchweek 20,0.4,2,1.9
29,2,Matchweek 21,1.4,0,0.9
30,0,Third round,,0,
31,3,Semi-finals,,1,
32,0,Matchweek 22,0.4,4,2.1
33,0,Third round,,1,
34,2,Matchweek 23,2.4,0,1.2
35,2,Matchweek 24,0.7,0,2.0
36,0,Fourth round,,6,
37,0,Semi-finals,,1,
38,0,Matchweek 25,1.0,0,0.8
39,0,Matchweek 26,1.3,2,0.8
40,1,Round of 32,1.4,1,1.2
41,0,Matchweek 27,0.3,3,2.3
42,0,Round of 32,0.4,5,4.1
43,1,Matchweek 28,2.5,1,1.2
44,0,Fifth round,,3,
45,0,Matchweek 29,0.6,2,1.4
46,0,Round of 16,0.5,5,2.5
47,1,Matchweek 30,0.4,1,1.6
48,0,Matchweek 31,0.1,3,2.5
49,1,Quarter-finals,,2,
50,0,Matchweek 32,0.5,3,0.8
51,2,Matchweek 33,1.1,5,2.3
52,0,Matchweek 34,0.5,3,2.7
53,,Matchweek 35,,,
54,,Matchweek 36,,,
55,,Semi-finals,,,
56,,Matchweek 37,,,
57,,Matchweek 38,,,
58,,Round of 16,,,
