,squad,xa,pens_made,players_used,pens_att,cards_yellow,assists,games,cards_red,xg,npxg,goals_per90,goals_assists_pens_per90,goals_assists_per90,goals
0,Arsenal,36.4,2,28,2,67,28,30,4,36.4,34.9,1.37,2.23,2.30,41
1,Aston Villa,32.5,1,28,3,56,27,29,1,32.5,30.1,1.14,2.03,2.07,33
2,Bournemouth,32.6,1,26,1,64,18,30,3,32.6,31.8,0.93,1.50,1.53,28
3,Brighton,34.1,1,24,1,49,20,30,2,34.1,33.3,1.00,1.63,1.67,30
4,Burnley,33.3,2,21,2,58,23,29,0,33.3,31.8,1.14,1.86,1.93,33
5,Chelsea,50.2,4,26,4,53,35,29,0,50.2,47.2,1.76,2.83,2.97,51
6,Crystal Palace,28.2,3,24,3,50,18,30,1,28.2,26.0,0.87,1.37,1.47,26
7,Everton,41.5,0,23,0,59,26,29,3,41.5,41.5,1.21,2.10,2.10,35
8,Leicester City,48.1,5,21,7,34,42,30,1,48.1,42.8,1.90,3.13,3.30,57
9,Liverpool,56.5,5,23,5,26,53,29,1,56.5,52.7,2.21,3.86,4.03,64
10,Manchester City,68.8,4,22,8,56,52,29,3,68.8,62.9,2.45,4.10,4.24,71
11,Manchester Utd,45.9,7,28,11,57,28,30,0,45.9,37.5,1.47,2.17,2.40,44
12,Newcastle Utd,25.3,0,27,1,52,17,29,3,25.3,24.5,0.86,1.45,1.45,25
13,Norwich City,34.4,2,28,2,54,17,30,1,34.4,33.0,0.80,1.30,1.37,24
14,Sheffield Utd,34.1,1,23,1,52,18,29,1,34.1,33.4,0.93,1.52,1.55,27
15,Southampton,41.5,1,24,2,45,23,30,3,41.5,39.8,1.27,2.00,2.03,38
16,Tottenham,38.8,3,29,4,65,31,30,3,38.8,35.7,1.53,2.47,2.57,46
17,Watford,35.6,4,25,5,65,19,30,3,35.6,31.8,0.93,1.43,1.57,28
18,West Ham,33.1,3,28,3,56,26,30,1,33.1,30.8,1.17,1.93,2.03,35
19,Wolves,38.9,3,20,3,50,29,30,2,38.9,36.7,1.37,2.23,2.33,41
