,squad,passes_total_distance,passes,passes_completed,passes_pct,passes_progressive_distance
0,Arsenal,244219,15087,12516,83.0,72805
1,Aston Villa,184947,11700,8851,75.6,64900
2,Bournemouth,183948,12440,9379,75.4,66501
3,Brighton,260792,15980,12959,81.1,84558
4,Burnley,149159,10500,7204,68.6,59687
5,Chelsea,300169,18433,15462,83.9,85523
6,Crystal Palace,176881,11966,9060,75.7,67958
7,Everton,211424,13080,9982,76.3,77134
8,Leicester City,250085,15846,12993,82.0,78396
9,Liverpool,319850,18898,15648,82.8,94537
10,Manchester City,336753,19977,17404,87.1,91323
11,Manchester Utd,233924,15496,12651,81.6,72179
12,Newcastle Utd,156900,10438,7588,72.7,61598
13,Norwich City,208781,14176,11373,80.2,68288
14,Sheffield Utd,180918,12223,8964,73.3,63446
15,Southampton,173160,12371,8971,72.5,63553
16,Tottenham,234551,15193,12182,80.2,71747
17,Watford,172984,11969,8786,73.4,64788
18,West Ham,183360,12646,9497,75.1,69308
19,Wolves,220844,13306,10396,78.1,73275
